actual,short
Association,ASSOC
Aushadhalay,AUSHAD
Aushad Ghar,AUSHAD
Banasree,BANAS
Bangladesh,BD
Cantonment,CANT
Cardiology,CRD
Center,CNTR
Central,CENT
Chamber,CHAM
Chikistsaloy,CHIKT
Chittaagong,CTG
Clinic,CLC
College,COL
Commission,COMM
Comission,COMM
Communication,CMNTY
Community,COMMU
Complex,CMPLX
Consolation,CN
Consultation,CN
Consultant,CN
Corner,CRNR
Corner,CRNR
Corporate,COR
Corporation,CORP
Culture,CUL
Dental,DNTL
Departmental,DEPT
Diabetic,DES
Diabetics,DES
Diagnostic,DAG
Digital,DIGI
Dispenchary,DISP
Distribution,DIST
Distributor,DIST
Doctor,DOC
Drug,DRG
Electric,ELC
Employee,EMP
Enterprise,ENT
Fisheries,FISHER
Foundation,FNDN
Fowndetion,FND
Genaral,GEN
Gulshan Tower,GT
Hatchery,HAT
Herbal,HRBL
Hospital,HOSP
Industries,INDUS
Institute,INST
International,INTL
Intregration,INTGRA
Investment,INVEST
Logistics,LOG
Management,MGMT
Managing Director,MD
Medical,MED
Medicare,MEDI
Medicine,MDCN
Medico,MEDC
Memorial,MEMO
Metropolitan,METRO
Model,MDL
Modern,MDRN
Not Applicable,N/A
Nursing,NSG
Office,OFF
Office & Others,OFF&OTRS
Orthopaedic,ORTHO
Organisation,ORG
Others,OTRS
Oushadhaloy,AUSHD
Pathology,PATH
Pharmaceutical,PHARMA
Pharmacitical,PHARMA
Pharmacy,PHAR
Private,PVT
Professors,PROF
Project,PROJ
Poultry,POUL
Scientific,SCI
Sergical,SURG
Sergical,SURG
Services,SER
Specialized,SPC
Store,STR
Sub Distributor,SUB-DIST
Super,SUP
Technology,TECH
Telicom,TEL
Tetultala Khilkhet Express,TETU KHIL EXP
Traders,TRD
Treatment,TRT
Varities,VARIE
Varrietise,VARIE
Veterinary,VAT
Medical Hall,MED
Hall, 
hall, 
Model, 
Pharma,PHAR
Madical,MED
Mr., 
MR. , 
DR., 
Dr., 
MD., 
Md., 
