Full Name,Short Name
Hazra Pharmacy                                              ,Hazra PHAR                                              
Uttam Medical Hall                                          ,Uttam MED                                            
Tuli Pharmacy                                               ,Tuli PHAR                                               
Joy Ma Pharmacy                                             ,Joy Ma PHAR                                             
Ayshe Pharmacy                                              ,Ayshe PHAR                                              
Hazi Bazal Ahmed Pharmacy                                   ,Hazi Bazal Ahmed PHAR                                   
Kajol Medicine Corner                                       ,Kajol MDCN CRNR                                       
Amena Pharmacy                                              ,Amena PHAR                                              
Mizan Medical Hall                                          ,Mizan MED                                            
Mahbuba Pharmacy 2                                          ,Mahbuba PHAR 2                                          
Farhad Medical Hall                                         ,Farhad MED                                           
M S Chaina Surgical & Medicine Store                        ,M S Chaina Surgical & MDCN STR                        
Family Pharmacy                                             ,Family PHAR                                             
M S Shirin Pharmacy                                         ,M S Shirin PHAR                                         
Hamim Pharmacy                                              ,Hamim PHAR                                              
Nur Pharmacy                                                ,Nur PHAR                                                
Chowdhury Medicine Center                                   ,Chowdhury MDCN CNTR                                   
Ma pharmacy                                                 ,Ma pharmacy                                                 
Sadot Ali Pharmacy                                          ,Sadot Ali PHAR                                          
Raihan Medico                                               ,Raihan MEDC                                               
Aleya Pharmacy                                              ,Aleya PHAR                                              
Maa Pharmacy                                                ,Maa PHAR                                                
Mostofa Medical Hall                                        ,Mostofa MED                                          
Maa Pharmacy                                                ,Maa PHAR                                                
Life Care Pharmacy                                          ,Life Care PHAR                                          
Janaprio Pharmacy                                           ,Janaprio PHAR                                           
A K Medicine House                                          ,A K MDCN House                                          
EST Pharmacy                                                ,EST PHAR                                                
Dibanishi Pharmacy                                          ,Dibanishi PHAR                                          
Shaki Pharmacy                                              ,Shaki PHAR                                              
Hafiz Pharmacy                                              ,Hafiz PHAR                                              
Khan Pharmacy                                               ,Khan PHAR                                               
Sheikh Pharmacy                                             ,Sheikh PHAR                                             
Rokaya Drug House                                           ,Rokaya DRG House                                           
Akhi Medical Hall                                           ,Akhi MED                                             
Sarkar Pharmacy                                             ,Sarkar PHAR                                             
Datta Pharmacy                                              ,Datta PHAR                                              
Rahman Pharmacy 02                                          ,Rahman PHAR 02                                          
Sottoban Pharmacy                                           ,Sottoban PHAR                                           
Bhadan Drug House                                           ,Bhadan DRG House                                           
Master Pharmacy                                             ,Master PHAR                                             
Sarder Pharmacy                                             ,Sarder PHAR                                             
An Noor Medical Hall                                        ,An Noor MED                                          
Rabeya Pharmacy                                             ,Rabeya PHAR                                             
Doctor s Point                                              ,DOC s Point                                              
Sree Gonesh Pharmacy                                        ,Sree Gonesh PHAR                                        
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Khayer Medical Hall                                         ,Khayer MED                                           
Mayer Doa Meadical Hall                                     ,Mayer Doa Meadical                                       
Oishi Medical hall                                          ,Oishi MED                                            
Farzana Clinic                                              ,Farzana CLC                                              
Raz Medical Hall                                            ,Raz MED                                              
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Partho Medical Hall                                         ,Partho MED                                           
Dawakhana Pharmacy                                          ,Dawakhana PHAR                                          
Zaman Medical Hall                                          ,Zaman MED                                            
Dolon Pharmacy                                              ,Dolon PHAR                                              
Khan Brothers Pharmacy                                      ,Khan Brothers PHAR                                      
Rabeta Pharmacy                                             ,Rabeta PHAR                                             
Tabassum Pharma                                             ,Tabassum PHAR                                             
Badhon Drug House                                           ,Badhon DRG House                                           
Emon Pharmacy                                               ,Emon PHAR                                               
Esrat Efti Medicine Corner                                  ,Esrat Efti MDCN CRNR                                  
M.S Maa Pharmacy                                            ,M.S Maa PHAR                                            
New Khan Medical Hall                                       ,New Khan MED                                         
Mondol Medicine Corner                                      ,Mondol MDCN CRNR                                      
Nur Pharmacy                                                ,Nur PHAR                                                
Nasir Medicine Corner                                       ,Nasir MDCN CRNR                                       
Ramim Pharmacy                                              ,Ramim PHAR                                              
Salman Medical Hall                                         ,Salman MED                                           
Ma Pharmacy                                                 ,Ma PHAR                                                 
Sabbir Pharmacy                                             ,Sabbir PHAR                                             
Urme Pharmacy                                               ,Urme PHAR                                               
Rebeka Pharmacy                                             ,Rebeka PHAR                                             
New Panchanan Pharmacy                                      ,New Panchanan PHAR                                      
National Drug House                                         ,National DRG House                                         
Mahim Drug House                                            ,Mahim DRG House                                            
Aritro Medical                                              ,Aritro MED                                              
Ghosh Pharmacy                                              ,Ghosh PHAR                                              
Tanha Medical Hall                                          ,Tanha MED                                            
Seba Medical Center                                         ,Seba MED CNTR                                         
Anwar Medicine Shop                                         ,Anwar MDCN Shop                                         
A B Mollick Pharmacy                                        ,A B Mollick PHAR                                        
Maa Pharmacy                                                ,Maa PHAR                                                
Satata Pharmacy                                             ,Satata PHAR                                             
Maisa Pharmacy                                              ,Maisa PHAR                                              
Arefin Pharmacy                                             ,Arefin PHAR                                             
Suma Pharmacy                                               ,Suma PHAR                                               
Das Medical Hall                                            ,Das MED                                              
Uposham Pharmacy                                            ,Uposham PHAR                                            
Kajol Pharmacy                                              ,Kajol PHAR                                              
Al Amin Medicine Store                                      ,Al Amin MDCN STR                                      
Himel Pharmacy                                              ,Himel PHAR                                              
Mitaly Drug House                                           ,Mitaly DRG House                                           
Digital Pharmacy                                            ,DIGI PHAR                                            
Fayea Clinic                                                ,Fayea CLC                                                
A. H. Medicine Shop                                         ,A. H. MDCN Shop                                         
Ghosh Pharmacy                                              ,Ghosh PHAR                                              
Gazi Pharmacy                                               ,Gazi PHAR                                               
National Pharmacy                                           ,National PHAR                                           
Adi Panchanon Pharmacy                                      ,Adi Panchanon PHAR                                      
Das Medical                                                 ,Das MED                                                 
Gazi Pharmacy                                               ,Gazi PHAR                                               
Biswas Pharmacy                                             ,Biswas PHAR                                             
Laboni Medical                                              ,Laboni MED                                              
Lotifa Pharmacy                                             ,Lotifa PHAR                                             
Hena Medical Hall                                           ,Hena MED                                             
Masud Pharmacy                                              ,Masud PHAR                                              
Digital Medical Centre                                      ,DIGI MED Centre                                      
DR Akram                                                    , Akram                                                    
Milon Pharmacy                                              ,Milon PHAR                                              
Lily Pharmacy                                               ,Lily PHAR                                               
Loknath Nurshing Home                                       ,Loknath Nurshing Home                                       
Doctors Clinic                                              ,DOCs CLC                                              
Al Baraka Pharmacy                                          ,Al Baraka PHAR                                          
Al Amin Pharmacy                                            ,Al Amin PHAR                                            
National Pharmacy                                           ,National PHAR                                           
Jerin Pharmacy                                              ,Jerin PHAR                                              
Lipi Clinic                                                 ,Lipi CLC                                                 
Khan Pharmacy                                               ,Khan PHAR                                               
Rabeya Pharmacy                                             ,Rabeya PHAR                                             
DR SABUR AHMED                                              , SABUR AHMED                                              
B N PHARMACY                                                ,B N PHARMACY                                                
Al Amin Pharmacy                                            ,Al Amin PHAR                                            
Ghosh Medical Hall                                          ,Ghosh MED                                            
Joba Pharmecy                                               ,Joba Pharmecy                                               
Rabiul Pharmacy                                             ,Rabiul PHAR                                             
Medicine Park                                               ,MDCN Park                                               
AAVAS Dispensary                                            ,AAVAS Dispensary                                            
L.L Pharma                                                  ,L.L PHAR                                                  
Sarker Pharmacy                                             ,Sarker PHAR                                             
Bondhu Pharmacy                                             ,Bondhu PHAR                                             
Jihad Medical Hall                                          ,Jihad MED                                            
Modern Pharmacy                                             ,MDRN PHAR                                             
Maa Medical Hall                                            ,Maa MED                                              
Tamim Pharmacy                                              ,Tamim PHAR                                              
Muslim Pharmacy                                             ,Muslim PHAR                                             
Shefali Health Care Pharma                                  ,Shefali Health Care PHAR                                  
Oishi Drugh House                                           ,Oishi DRGh House                                           
Shongkor  Pharmacy                                          ,Shongkor  PHAR                                          
Masud Pharmacy                                              ,Masud PHAR                                              
Mr.Bilal Hossain Officer Accounts                           , Bilal Hossain OFFr Accounts                           
Ma Medical Hall                                             ,Ma MED                                               
Tonni Medical Hall                                          ,Tonni MED                                            
Jalaluddin Medical Hall                                     ,Jalaluddin MED                                       
Insaf Medical Hall                                          ,Insaf MED                                            
Rafi Medicine corner                                        ,Rafi MDCN corner                                        
Hossain Pharmacy                                            ,Hossain PHAR                                            
Bismillah Medicine Corner                                   ,Bismillah MDCN CRNR                                   
R K Pharmacy                                                ,R K PHAR                                                
Ahsan Medico                                                ,Ahsan MEDC                                                
Rasel Pharmacy                                              ,Rasel PHAR                                              
Anik Pharmacy                                               ,Anik PHAR                                               
M S Sarker Pharmacy                                         ,M S Sarker PHAR                                         
Ritu Pharmacy                                               ,Ritu PHAR                                               
M S Arju Medical Store                                      ,M S Arju MED STR                                      
Juyel Pharmacy                                              ,Juyel PHAR                                              
Al Shifa Surgical & Medical Pharma                          ,Al Shifa Surgical & MED PHAR                          
Ibna Sina Pharmacy                                          ,Ibna Sina PHAR                                          
Nahar Pharmacy                                              ,Nahar PHAR                                              
Raha Pharmacy                                               ,Raha PHAR                                               
Niloy Pharmacy                                              ,Niloy PHAR                                              
Bodruddin Medical Hall                                      ,Bodruddin MED                                        
Khalid Medical Hall                                         ,Khalid MED                                           
Al Amin Pharmacy                                            ,Al Amin PHAR                                            
Rodela  Pharmacy                                            ,Rodela  PHAR                                            
Vai Vai Pharmacy                                            ,Vai Vai PHAR                                            
Maa Moni Medical HAll                                       ,Maa Moni MED HAll                                       
Babul Medical Hall                                          ,Babul MED                                            
Ruby Pharmacy                                               ,Ruby PHAR                                               
Adhunik Eye Hospital Pharmacy                               ,Adhunik Eye HOSP PHAR                               
Bhowmik Medical Hall                                        ,Bhowmik MED                                          
Latika Pharmacy                                             ,Latika PHAR                                             
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Kabir Pharma                                                ,Kabir PHAR                                                
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Momtaz Pharmacy                                             ,Momtaz PHAR                                             
Ethar Medical Hall                                          ,Ethar MED                                            
Niva Pharmacy                                               ,Niva PHAR                                               
S K Pharmacy                                                ,S K PHAR                                                
Liton Medical Hall                                          ,Liton MED                                            
Kolaroa Shishu & General Hospital                           ,Kolaroa Shishu & General HOSP                           
Habib Pharmacy                                              ,Habib PHAR                                              
Sumi Pharmacy                                               ,Sumi PHAR                                               
Maa Medical Hall                                            ,Maa MED                                              
Hasnat Pharmacy                                             ,Hasnat PHAR                                             
ISFA Medico                                                 ,ISFA MEDC                                                 
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Liza Pharmacy                                               ,Liza PHAR                                               
Rogmuktee Pharmacy 2                                        ,Rogmuktee PHAR 2                                        
Mr.Sayadur Rahman Talukder                                  , Sayadur Rahman Talukder                                  
Anam Pharmacy                                               ,Anam PHAR                                               
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Medicine Palace                                             ,MDCN Palace                                             
SHEBA PHARMACV                                              ,SHEBA PHARMACV                                              
Hoque Pharmacy                                              ,Hoque PHAR                                              
Busra Pharmacy                                              ,Busra PHAR                                              
Suporna Medical Hall                                        ,Suporna MED                                          
Biswas pharmacy                                             ,Biswas pharmacy                                             
Baba Loknath Pharmacy                                       ,Baba Loknath PHAR                                       
Hawlader Pharmacy  2                                        ,Hawlader PHAR  2                                        
Hushini Pharmacy                                            ,Hushini PHAR                                            
Medicin Point                                               ,Medicin Point                                               
R M Pharmacy                                                ,R M PHAR                                                
Juwel Pharmacy                                              ,Juwel PHAR                                              
Ibrahim Medical                                             ,Ibrahim MED                                             
Jahanara Pharmacy                                           ,Jahanara PHAR                                           
Master Pharmacy                                             ,Master PHAR                                             
Fatema Drug House                                           ,Fatema DRG House                                           
Krishna Pharmacy                                            ,Krishna PHAR                                            
Puspita Pharmacy                                            ,Puspita PHAR                                            
Asif Pharmacy                                               ,Asif PHAR                                               
Asha Medicine Corner                                        ,Asha MDCN CRNR                                        
Raiyan Medicine Store                                       ,Raiyan MDCN STR                                       
ABC Pharmacy                                                ,ABC PHAR                                                
Al Shaba Medical Hall                                       ,Al Shaba MED                                         
Ananna Pharmacy                                             ,Ananna PHAR                                             
Dalim Pharmacy                                              ,Dalim PHAR                                              
Hawlader Medicine Store                                     ,Hawlader MDCN STR                                     
Delowar Pharmacy                                            ,Delowar PHAR                                            
Panchanan Pharmacy                                          ,Panchanan PHAR                                          
Tolon Pharmacy                                              ,Tolon PHAR                                              
Anuj Pharmacy                                               ,Anuj PHAR                                               
Kabir Drug House                                            ,Kabir DRG House                                            
Aritra Pharmacy                                             ,Aritra PHAR                                             
Rahaman Medical Hall                                        ,Rahaman MED                                          
Maa Fatama Medical Hall                                     ,Maa Fatama MED                                       
Orsha Pharmacy                                              ,Orsha PHAR                                              
Fatema Medical                                              ,Fatema MED                                              
Monir Pharmacy                                              ,Monir PHAR                                              
Mollah Pharmacy                                             ,Mollah PHAR                                             
Sheikh Pharmacy                                             ,Sheikh PHAR                                             
Maa Medicine                                                ,Maa MDCN                                                
Nandini Pharmacy                                            ,Nandini PHAR                                            
Laz Pharma                                                  ,Laz PHAR                                                  
Tinny Pharmacy                                              ,Tinny PHAR                                              
Sarker Medical Hall                                         ,Sarker MED                                           
Tania Medical Hall                                          ,Tania MED                                            
Sattoronjon Pharmacy                                        ,Sattoronjon PHAR                                        
Rahman Medical Hall                                         ,Rahman MED                                           
Mukti Pharmacy                                              ,Mukti PHAR                                              
Shakib Pharmacy                                             ,Shakib PHAR                                             
Omi Pharmacy                                                ,Omi PHAR                                                
Mitu Pharmacy                                               ,Mitu PHAR                                               
Marzan Medical Hall                                         ,Marzan MED                                           
Shibli Pharma                                               ,Shibli PHAR                                               
Rashed Medical Hall                                         ,Rashed MED                                           
Waheda Pharmacy                                             ,Waheda PHAR                                             
Razu Medicine                                               ,Razu MDCN                                               
Arman Pharmacy                                              ,Arman PHAR                                              
Borobari Pharmacy                                           ,Borobari PHAR                                           
Bismillah Model Medicine Shop                               ,Bismillah   MDCN Shop                               
Unique Drug House                                           ,Unique DRG House                                           
Bismillah  Pharmacy   2                                     ,Bismillah  PHAR   2                                     
Haque Medicine Corner                                       ,Haque MDCN CRNR                                       
Siddique Pharmacy                                           ,Siddique PHAR                                           
Sohel Medical Hall                                          ,Sohel MED                                            
Intaz Medical Hall                                          ,Intaz MED                                            
Life Care Pharmacy                                          ,Life Care PHAR                                          
MCI Pharmacy                                                ,MCI PHAR                                                
Maa Medical Store                                           ,Maa MED STR                                           
Guardian Pharmacy                                           ,Guardian PHAR                                           
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Seba Medicin Corner                                         ,Seba Medicin CRNR                                         
Raiyan Medical hall                                         ,Raiyan MED                                           
S.S Pharmacy                                                ,S.S PHAR                                                
Polash Medical Hall                                         ,Polash MED                                           
Jharna Pharmacy                                             ,Jharna PHAR                                             
Tamim Pharmacy                                              ,Tamim PHAR                                              
Saha Medical Hall                                           ,Saha MED                                             
Asad Pharmacy                                               ,Asad PHAR                                               
Shovon Drug House                                           ,Shovon DRG House                                           
Prianka Pharmacy                                            ,Prianka PHAR                                            
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Rahman Pharmacy                                             ,Rahman PHAR                                             
Jui Pharmacy                                                ,Jui PHAR                                                
Taz Pharmacy                                                ,Taz PHAR                                                
Mollah Pharmacy                                             ,Mollah PHAR                                             
Nurani Pharmacy                                             ,Nurani PHAR                                             
Saleha Medical Hall                                         ,Saleha MED                                           
Ideal Pharmacy                                              ,Ideal PHAR                                              
Fatema Medical                                              ,Fatema MED                                              
SHAIKH PHARMACY                                             ,SHAIKH PHARMACY                                             
Sagor Medical Hall                                          ,Sagor MED                                            
Pritom Medical                                              ,Pritom MED                                              
Dr. Arobindu                                                ,  Arobindu                                                
Matree Medical Hall                                         ,Matree MED                                           
Seba Medical Hall                                           ,Seba MED                                             
Mir Medicin Corner                                          ,Mir Medicin CRNR                                          
Tuhin Pharmacy                                              ,Tuhin PHAR                                              
Shimu Pharmacy                                              ,Shimu PHAR                                              
Sakib Pharmacy                                              ,Sakib PHAR                                              
Lubaba Pharmacy                                             ,Lubaba PHAR                                             
Shompa Medical Hall                                         ,Shompa MED                                           
Medicine Corner                                             ,MDCN CRNR                                             
Purnima Pharmacy                                            ,Purnima PHAR                                            
Medicine House                                              ,MDCN House                                              
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Sahol Pharmacy                                              ,Sahol PHAR                                              
Shawon Medical                                              ,Shawon MED                                              
Sarder Pharmacy                                             ,Sarder PHAR                                             
Shagota Clinic                                              ,Shagota CLC                                              
Max Drug House                                              ,Max DRG House                                              
Zannat Pharmacy                                             ,Zannat PHAR                                             
Nazir Ahmed Pharmacy                                        ,Nazir Ahmed PHAR                                        
Jonokollan Pharmacy                                         ,Jonokollan PHAR                                         
Al Araf Pharmacy                                            ,Al Araf PHAR                                            
Khandakar Pharmacy                                          ,Khandakar PHAR                                          
Rakat Pharmacy                                              ,Rakat PHAR                                              
Betgari Pharmacy                                            ,Betgari PHAR                                            
Al Shefa Farma & Surgical                                   ,Al Shefa Farma & Surgical                                   
Mayer Dua Pharmacy                                          ,Mayer Dua PHAR                                          
Suprova Pharmacy                                            ,Suprova PHAR                                            
Gaucia Medicine Corner                                      ,Gaucia MDCN CRNR                                      
Jam Jam Pharmacy                                            ,Jam Jam PHAR                                            
Mahi Medicine Corner                                        ,Mahi MDCN CRNR                                        
Chanda Medical Store                                        ,Chanda MED STR                                        
Arjun Medicine Center                                       ,Arjun MDCN CNTR                                       
Maruf Medico                                                ,Maruf MEDC                                                
Sikder Medical Hall                                         ,Sikder MED                                           
Zubayer Pharmacy                                            ,Zubayer PHAR                                            
Bismillah Medical Hall                                      ,Bismillah MED                                        
Shosso Medicine House                                       ,Shosso MDCN House                                       
Rokeya Pharmacy                                             ,Rokeya PHAR                                             
Robiul Pharmacy                                             ,Robiul PHAR                                             
Marzia Pharmacy                                             ,Marzia PHAR                                             
Krishna Pharmacy                                            ,Krishna PHAR                                            
Sami Pharmacy                                               ,Sami PHAR                                               
Firoza Medicine Corner                                      ,Firoza MDCN CRNR                                      
Mohin Pharmacy                                              ,Mohin PHAR                                              
Three star Pharmacy                                         ,Three star PHAR                                         
Rasel Medical Hall                                          ,Rasel MED                                            
Dibakar Medical Hall                                        ,Dibakar MED                                          
S. A Pharmacy                                               ,S. A PHAR                                               
Sadi Pharmacy                                               ,Sadi PHAR                                               
Al Modina Drugs Ltd                                         ,Al Modina DRGs Ltd                                         
Giasuddin Medical Hall                                      ,Giasuddin MED                                        
Maa Pharmacy                                                ,Maa PHAR                                                
Akbor Medical Hall                                          ,Akbor MED                                            
Maa Pharmacy                                                ,Maa PHAR                                                
K.R Pharmacy                                                ,K.R PHAR                                                
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Boishakhi Pharmacy                                          ,Boishakhi PHAR                                          
Smart Pharmacy                                              ,Smart PHAR                                              
Taz Medical Hall                                            ,Taz MED                                              
Khan Medical Hall                                           ,Khan MED                                             
